,data,pais_origem,continente_destino,pais_destino,litro,valor_usd,valor_real,real_projecao
314,2015-01-01,Brasil,Ásia,Cingapura,1116,2774,9261.542704,real
315,2015-01-01,Brasil,América do Norte,Cuba,97965,108864,363463.80134400004,real
316,2015-01-01,Brasil,Europa,Dinamarca,7080,29306,97843.824976,real
317,2015-01-01,Brasil,Ásia,Emirados Arabes Unidos,765,3740,12486.72304,real
318,2015-01-01,Brasil,América do Norte,Estados Unidos,195896,524109,1749840.621864,real
319,2015-01-01,Brasil,Europa,França,1596,4749,15855.467304,real
320,2015-01-01,Brasil,Ásia,Hong Kong,1229,7837,26165.360552000002,real
321,2015-01-01,Brasil,Ásia,Japão,31597,87853,293314.45968800003,real
322,2015-01-01,Brasil,Europa,Luxemburgo,2295,17358,57953.085168000005,real
323,2015-01-01,Brasil,Europa,Noruega,1058,6021,20102.288616,real
324,2015-01-01,Brasil,Oceania,Nova Zelândia,809,3476,11605.307296,real
325,2015-01-01,Brasil,América do Sul,Paraguai,495428,741370,2475209.05352,real
326,2015-01-01,Brasil,Europa,Países Baixos,44987,186464,622546.6109440001,real
327,2015-01-01,Brasil,Europa,Polônia,11654,42781,142832.75357600002,real
328,2015-01-01,Brasil,Europa,Portugal,47736,42586,142181.707856,real
329,2015-01-01,Brasil,Europa,Reino Unido,68382,308407,1029677.217272,real
330,2015-01-01,Brasil,Europa,Rússia,47664,18240,60897.81504,real
331,2015-01-01,Brasil,América do Sul,Suriname,453,713,2380.490248,real
332,2015-01-01,Brasil,Europa,Suécia,1412,6404,21381.009184000002,real
333,2015-01-01,Brasil,Europa,Suíça,15872,85790,286426.72984,real
334,2015-01-01,Brasil,Ásia,Taiwan (FORMOSA),7200,23940,79928.38224,real
335,2015-01-01,Brasil,Europa,"Tcheca, República",2297,15304,51095.403584,real
336,2016-01-01,Brasil,Europa,"Alemanha, República Democrática",14012,68109,237245.92488406374,real
337,2016-01-01,Brasil,África,Angola,7359,35390,123274.94577290837,real
338,2016-01-01,Brasil,América Central,Antilhas Holandesas,16641,26450,92134.00157370519,real
339,2016-01-01,Brasil,Oceania,Austrália,1954,13799,48066.4305374502,real
340,2016-01-01,Brasil,África,Benin,5040,20333,70826.48975418326,real
341,2016-01-01,Brasil,América do Sul,Bolívia,13586,16902,58875.19450278884,real
