,Data,Tipo da uva,Nome da uva,Kilogramas
240,2010-01-01,TIN,TINTAS,23633831
241,2010-01-01,TINTAS,Alicante Bouschet,849263
242,2010-01-01,TINTAS,Ancelota,853718
243,2010-01-01,TINTAS,Arinarnoa,35790
244,2010-01-01,TINTAS,Barbera,26044
245,2010-01-01,TINTAS,Cabernet Franc,2125997
246,2010-01-01,TINTAS,Cabernet Sauvignon,6617553
247,2010-01-01,TINTAS,Carmenere,85264
248,2010-01-01,TINTAS,Castelão,16230
249,2010-01-01,TINTAS,Corvina,100
250,2010-01-01,TINTAS,Egiodola,845205
251,2010-01-01,TINTAS,Franconia,9310
252,2010-01-01,TINTAS,Gamay St Romain,44153
253,2010-01-01,TINTAS,Gamay Beaujolais,84074
254,2010-01-01,TINTAS,Lagrein,5670
255,2010-01-01,TINTAS,Lambrusco,68480
256,2010-01-01,TINTAS,Malbec,318059
257,2010-01-01,TINTAS,Merlot,6179006
258,2010-01-01,TINTAS,Marselan,200025
259,2010-01-01,TINTAS,Molinera,100
260,2010-01-01,TINTAS,Montepulciano,17959
261,2010-01-01,TINTAS,Nebbiolo,11986
262,2010-01-01,TINTAS,Petit Verdot,109942
263,2010-01-01,TINTAS,Petite Sirah,29457
264,2010-01-01,TINTAS,Pinotage,644072
265,2010-01-01,TINTAS,Pinot Noir,1309849
266,2010-01-01,TINTAS,Rebo,1650
267,2010-01-01,TINTAS,Refosco,9466
268,2010-01-01,TINTAS,Rondinella,100
269,2010-01-01,TINTAS,Ruby Cabernet,379720
270,2010-01-01,TINTAS,Sangiovese,258484
271,2010-01-01,TINTAS,Tannat,2266985
272,2010-01-01,TINTAS,Tempranillo,63526
273,2010-01-01,TINTAS,Teroldego,68593
274,2010-01-01,TINTAS,Touriga Nacional,97629
275,2010-01-01,TINTAS,Zinfandel,372
276,2010-01-01,BRA,BRANCAS E ROSADAS,22104122
277,2010-01-01,BRANCAS E ROSADAS,Alvarinho,1088
278,2010-01-01,BRANCAS E ROSADAS,Arriloba,33750
279,2010-01-01,BRANCAS E ROSADAS,Chardonnay,3836555
280,2010-01-01,BRANCAS E ROSADAS,Chasselas,47099
281,2010-01-01,BRANCAS E ROSADAS,Chenin Blanc,73720
282,2010-01-01,BRANCAS E ROSADAS,Colombard,479201
283,2010-01-01,BRANCAS E ROSADAS,Flora,35860
284,2010-01-01,BRANCAS E ROSADAS,Gewurztraminer,105186
285,2010-01-01,BRANCAS E ROSADAS,Gouveio,4358
286,2010-01-01,BRANCAS E ROSADAS,Gros Manseng,4430
287,2010-01-01,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),2230
288,2010-01-01,BRANCAS E ROSADAS,Malvasia Amarela,251587
289,2010-01-01,BRANCAS E ROSADAS,Malvasia Bianca,49176
290,2010-01-01,BRANCAS E ROSADAS,Malvasia Chianti,2142
291,2010-01-01,BRANCAS E ROSADAS,Malvasia Verde,83565
292,2010-01-01,BRANCAS E ROSADAS,Malvasia di Candia,649194
293,2010-01-01,BRANCAS E ROSADAS,Moscato Branco,8595609
294,2010-01-01,BRANCAS E ROSADAS,Moscato Canelli,55811
295,2010-01-01,BRANCAS E ROSADAS,Moscato Giallo,1151570
296,2010-01-01,BRANCAS E ROSADAS,Moscato Nazareno,690210
297,2010-01-01,BRANCAS E ROSADAS,Moscato Bianco R2,317404
298,2010-01-01,BRANCAS E ROSADAS,Moscato de Alexandria,41426
299,2010-01-01,BRANCAS E ROSADAS,Moscato Rosado,2396
300,2010-01-01,BRANCAS E ROSADAS,Ora,4045
301,2010-01-01,BRANCAS E ROSADAS,Peverella,28945
302,2010-01-01,BRANCAS E ROSADAS,Pinot Blanc,16940
303,2010-01-01,BRANCAS E ROSADAS,Pinot Gris,36036
304,2010-01-01,BRANCAS E ROSADAS,Prosecco,1345161
305,2010-01-01,BRANCAS E ROSADAS,Riesling Italico,2120405
306,2010-01-01,BRANCAS E ROSADAS,Riesling Renano,96828
307,2010-01-01,BRANCAS E ROSADAS,Sauvignon Blanc(2),350866
308,2010-01-01,BRANCAS E ROSADAS,Sauvignon Gris,3629
309,2010-01-01,BRANCAS E ROSADAS,Semillon,165518
310,2010-01-01,BRANCAS E ROSADAS,Trebbiano,1338957
311,2010-01-01,BRANCAS E ROSADAS,Vermentino,560
312,2010-01-01,BRANCAS E ROSADAS,Vernaccia,6520
313,2010-01-01,BRANCAS E ROSADAS,Viognier,76145
314,2011-01-01,TIN,TINTAS,44473588
315,2011-01-01,TINTAS,Alicante Bouschet,2130579
316,2011-01-01,TINTAS,Ancelota,1346552
317,2011-01-01,TINTAS,Alfrocheiro,4320
318,2011-01-01,TINTAS,Arinarnoa,49376
319,2011-01-01,TINTAS,Aspirant Bouschet,2258
320,2011-01-01,TINTAS,Barbera,76397
321,2011-01-01,TINTAS,Bonarda,250
322,2011-01-01,TINTAS,Cabernet Franc,2741150
323,2011-01-01,TINTAS,Cabernet Sauvignon,13039126
324,2011-01-01,TINTAS,Carmenere,50125
325,2011-01-01,TINTAS,Castelão,26790
326,2011-01-01,TINTAS,Corvina,1110
327,2011-01-01,TINTAS,Egiodola,1544746
328,2011-01-01,TINTAS,Ekigaina,1350
329,2011-01-01,TINTAS,Festival (Sugraone),18007
330,2011-01-01,TINTAS,Gamay St Romain,20830
331,2011-01-01,TINTAS,Gamay Beaujolais,164201
332,2011-01-01,TINTAS,Grenache,1180
333,2011-01-01,TINTAS,Lagrein,3288
334,2011-01-01,TINTAS,Lambrusco,94480
335,2011-01-01,TINTAS,Malbec,636608
336,2011-01-01,TINTAS,Marzemina,5460
337,2011-01-01,TINTAS,Merlot,12510489
338,2011-01-01,TINTAS,Marselan,339023
339,2011-01-01,TINTAS,Molinera,1080
340,2011-01-01,TINTAS,Montepulciano,21115
341,2011-01-01,TINTAS,Napa Gamay,31410
342,2011-01-01,TINTAS,Nebbiolo,21342
343,2011-01-01,TINTAS,Petit Verdot,127549
344,2011-01-01,TINTAS,Petite Sirah,98861
345,2011-01-01,TINTAS,Pinotage,1075863
346,2011-01-01,TINTAS,Pinot Noir,2513274
347,2011-01-01,TINTAS,Pinot Saint George,7600
348,2011-01-01,TINTAS,Rebo,27620
349,2011-01-01,TINTAS,Refosco,18705
350,2011-01-01,TINTAS,Rondinella,1150
351,2011-01-01,TINTAS,Ruby Cabernet,582497
352,2011-01-01,TINTAS,Sangiovese,359833
353,2011-01-01,TINTAS,Tannat,4152135
354,2011-01-01,TINTAS,Tempranillo,256836
355,2011-01-01,TINTAS,Teroldego,179095
356,2011-01-01,TINTAS,Touriga Nacional,189928
357,2011-01-01,BRA,BRANCAS E ROSADAS,37931015
358,2011-01-01,BRANCAS E ROSADAS,Aligote,2640
359,2011-01-01,BRANCAS E ROSADAS,Alvarinho,6668
360,2011-01-01,BRANCAS E ROSADAS,Arriloba,38390
361,2011-01-01,BRANCAS E ROSADAS,Chardonnay,4916344
362,2011-01-01,BRANCAS E ROSADAS,Chasselas,29543
363,2011-01-01,BRANCAS E ROSADAS,Chenin Blanc,212900
364,2011-01-01,BRANCAS E ROSADAS,Clairette(1),949
