,data,tipo_vinho,vinho,litro
207,2011-01-01,DERIVADOS,Mosto simples,77285998
208,2011-01-01,DERIVADOS,Mosto concentrado,0
209,2011-01-01,DERIVADOS,Mosto de uva com bagaço,1037600
210,2011-01-01,DERIVADOS,Mosto dessulfitado,0
211,2011-01-01,DERIVADOS,Mistelas,0
212,2011-01-01,DERIVADOS,Néctar de uva,0
213,2011-01-01,DERIVADOS,Licorosos,0
214,2011-01-01,DERIVADOS,Compostos,0
215,2011-01-01,DERIVADOS,Jeropiga,0
216,2011-01-01,DERIVADOS,Filtrado,0
217,2011-01-01,DERIVADOS,Frisante,1003800
218,2011-01-01,DERIVADOS,Vinho leve,0
219,2011-01-01,DERIVADOS,Vinho licoroso,0
220,2011-01-01,DERIVADOS,Brandy,0
221,2011-01-01,DERIVADOS,Destilado,0
222,2011-01-01,DERIVADOS,Bagaceira,0
223,2011-01-01,DERIVADOS,Licor de bagaceira,0
224,2011-01-01,DERIVADOS,Vinagre,0
225,2011-01-01,DERIVADOS,Borra líquida,0
226,2011-01-01,DERIVADOS,Borra seca,0
227,2011-01-01,DERIVADOS,Vinho Composto,0
228,2011-01-01,DERIVADOS,Pisco,0
229,2011-01-01,DERIVADOS,Vinho orgânico,5600
230,2011-01-01,DERIVADOS,Espumante orgânico,0
231,2011-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
232,2011-01-01,DERIVADOS,Vinho acidificado ,0
233,2011-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
234,2011-01-01,DERIVADOS,Outros derivados,0
235,2012-01-01,VINHO DE MESA,Tinto,175875432
236,2012-01-01,VINHO DE MESA,Branco,34938249
237,2012-01-01,VINHO DE MESA,Rosado,1963356
238,2012-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,24027589
239,2012-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,20647238
240,2012-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,525903
241,2012-01-01,SUCO,Suco de uva integral,31908829
242,2012-01-01,SUCO,Suco de uva concentrado,37624855
243,2012-01-01,SUCO,Suco de uva adoçado,533048
244,2012-01-01,SUCO,Suco de uva orgânico,0
245,2012-01-01,SUCO,Suco de uva reconstituído,0
246,2012-01-01,DERIVADOS,Espumante,17200
247,2012-01-01,DERIVADOS,Espumante moscatel,139775
248,2012-01-01,DERIVADOS,Base espumante,0
249,2012-01-01,DERIVADOS,Base espumante moscatel,2798908
250,2012-01-01,DERIVADOS,Base Champenoise champanha,369278
251,2012-01-01,DERIVADOS,Base Charmat champanha,479625
252,2012-01-01,DERIVADOS,Bebida de uva,0
253,2012-01-01,DERIVADOS,Polpa de uva,2797665
254,2012-01-01,DERIVADOS,Mosto simples,93341575
255,2012-01-01,DERIVADOS,Mosto concentrado,0
256,2012-01-01,DERIVADOS,Mosto de uva com bagaço,0
257,2012-01-01,DERIVADOS,Mosto dessulfitado,0
258,2012-01-01,DERIVADOS,Mistelas,200
259,2012-01-01,DERIVADOS,Néctar de uva,0
260,2012-01-01,DERIVADOS,Licorosos,26775
261,2012-01-01,DERIVADOS,Compostos,7600
262,2012-01-01,DERIVADOS,Jeropiga,0
263,2012-01-01,DERIVADOS,Filtrado,0
264,2012-01-01,DERIVADOS,Frisante,778500
265,2012-01-01,DERIVADOS,Vinho leve,0
266,2012-01-01,DERIVADOS,Vinho licoroso,0
267,2012-01-01,DERIVADOS,Brandy,0
268,2012-01-01,DERIVADOS,Destilado,0
269,2012-01-01,DERIVADOS,Bagaceira,0
270,2012-01-01,DERIVADOS,Licor de bagaceira,0
271,2012-01-01,DERIVADOS,Vinagre,0
272,2012-01-01,DERIVADOS,Borra líquida,0
273,2012-01-01,DERIVADOS,Borra seca,0
274,2012-01-01,DERIVADOS,Vinho Composto,0
275,2012-01-01,DERIVADOS,Pisco,0
276,2012-01-01,DERIVADOS,Vinho orgânico,0
277,2012-01-01,DERIVADOS,Espumante orgânico,0
278,2012-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
279,2012-01-01,DERIVADOS,Vinho acidificado ,0
280,2012-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
281,2012-01-01,DERIVADOS,Outros derivados,0
282,2013-01-01,VINHO DE MESA,Tinto,163111797
283,2013-01-01,VINHO DE MESA,Branco,32066403
284,2013-01-01,VINHO DE MESA,Rosado,1726022
285,2013-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,23156458
286,2013-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,21906349
287,2013-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,719723
288,2013-01-01,SUCO,Suco de uva integral,33673396
289,2013-01-01,SUCO,Suco de uva concentrado,31206394
290,2013-01-01,SUCO,Suco de uva adoçado,0
291,2013-01-01,SUCO,Suco de uva orgânico,0
292,2013-01-01,SUCO,Suco de uva reconstituído,0
293,2013-01-01,DERIVADOS,Espumante,30275
294,2013-01-01,DERIVADOS,Espumante moscatel,159781
295,2013-01-01,DERIVADOS,Base espumante,0
296,2013-01-01,DERIVADOS,Base espumante moscatel,1470700
297,2013-01-01,DERIVADOS,Base Champenoise champanha,359617
298,2013-01-01,DERIVADOS,Base Charmat champanha,624728
299,2013-01-01,DERIVADOS,Bebida de uva,4260
300,2013-01-01,DERIVADOS,Polpa de uva,1742152
301,2013-01-01,DERIVADOS,Mosto simples,58517506
302,2013-01-01,DERIVADOS,Mosto concentrado,0
303,2013-01-01,DERIVADOS,Mosto de uva com bagaço,0
304,2013-01-01,DERIVADOS,Mosto dessulfitado,0
305,2013-01-01,DERIVADOS,Mistelas,2500
306,2013-01-01,DERIVADOS,Néctar de uva,10000
307,2013-01-01,DERIVADOS,Licorosos,0
308,2013-01-01,DERIVADOS,Compostos,0
309,2013-01-01,DERIVADOS,Jeropiga,0
310,2013-01-01,DERIVADOS,Filtrado,0
311,2013-01-01,DERIVADOS,Frisante,1009000
312,2013-01-01,DERIVADOS,Vinho leve,0
313,2013-01-01,DERIVADOS,Vinho licoroso,100
314,2013-01-01,DERIVADOS,Brandy,0
315,2013-01-01,DERIVADOS,Destilado,0
316,2013-01-01,DERIVADOS,Bagaceira,0
317,2013-01-01,DERIVADOS,Licor de bagaceira,0
318,2013-01-01,DERIVADOS,Vinagre,0
319,2013-01-01,DERIVADOS,Borra líquida,63111
320,2013-01-01,DERIVADOS,Borra seca,78397
321,2013-01-01,DERIVADOS,Vinho Composto,0
322,2013-01-01,DERIVADOS,Pisco,0
323,2013-01-01,DERIVADOS,Vinho orgânico,0
324,2013-01-01,DERIVADOS,Espumante orgânico,0
325,2013-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
326,2013-01-01,DERIVADOS,Vinho acidificado ,0
327,2013-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
328,2013-01-01,DERIVADOS,Outros derivados,0
329,2014-01-01,VINHO DE MESA,Tinto,157776363
330,2014-01-01,VINHO DE MESA,Branco,37438069
331,2014-01-01,VINHO DE MESA,Rosado,958691
332,2014-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,17208996
333,2014-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,20054804
334,2014-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,1200514
335,2014-01-01,SUCO,Suco de uva integral,43331223
336,2014-01-01,SUCO,Suco de uva concentrado,33392314
337,2014-01-01,SUCO,Suco de uva adoçado,0
338,2014-01-01,SUCO,Suco de uva orgânico,0
339,2014-01-01,SUCO,Suco de uva reconstituído,0
340,2014-01-01,DERIVADOS,Espumante,2700
341,2014-01-01,DERIVADOS,Espumante moscatel,100000
342,2014-01-01,DERIVADOS,Base espumante,0
343,2014-01-01,DERIVADOS,Base espumante moscatel,1808044
344,2014-01-01,DERIVADOS,Base Champenoise champanha,234725
345,2014-01-01,DERIVADOS,Base Charmat champanha,376968
346,2014-01-01,DERIVADOS,Bebida de uva,3860
347,2014-01-01,DERIVADOS,Polpa de uva,2484000
348,2014-01-01,DERIVADOS,Mosto simples,57582195
349,2014-01-01,DERIVADOS,Mosto concentrado,0
350,2014-01-01,DERIVADOS,Mosto de uva com bagaço,0
351,2014-01-01,DERIVADOS,Mosto dessulfitado,0
352,2014-01-01,DERIVADOS,Mistelas,1000
353,2014-01-01,DERIVADOS,Néctar de uva,1140
354,2014-01-01,DERIVADOS,Licorosos,0
355,2014-01-01,DERIVADOS,Compostos,0
356,2014-01-01,DERIVADOS,Jeropiga,0
357,2014-01-01,DERIVADOS,Filtrado,0
358,2014-01-01,DERIVADOS,Frisante,26069
359,2014-01-01,DERIVADOS,Vinho leve,0
360,2014-01-01,DERIVADOS,Vinho licoroso,36000
361,2014-01-01,DERIVADOS,Brandy,0
362,2014-01-01,DERIVADOS,Destilado,0
363,2014-01-01,DERIVADOS,Bagaceira,0
364,2014-01-01,DERIVADOS,Licor de bagaceira,0
365,2014-01-01,DERIVADOS,Vinagre,53776
366,2014-01-01,DERIVADOS,Borra líquida,50954
367,2014-01-01,DERIVADOS,Borra seca,142850
368,2014-01-01,DERIVADOS,Vinho Composto,3000
369,2014-01-01,DERIVADOS,Pisco,0
370,2014-01-01,DERIVADOS,Vinho orgânico,0
371,2014-01-01,DERIVADOS,Espumante orgânico,0
372,2014-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
373,2014-01-01,DERIVADOS,Vinho acidificado ,0
374,2014-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
375,2014-01-01,DERIVADOS,Outros derivados,0
376,2015-01-01,VINHO DE MESA,Tinto,169811472
377,2015-01-01,VINHO DE MESA,Branco,39557250
378,2015-01-01,VINHO DE MESA,Rosado,939838
379,2015-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,16745896
380,2015-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,19561966
381,2015-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,841120
382,2015-01-01,SUCO,Suco de uva integral,52233155
383,2015-01-01,SUCO,Suco de uva concentrado,35661313
384,2015-01-01,SUCO,Suco de uva adoçado,0
385,2015-01-01,SUCO,Suco de uva orgânico,0
386,2015-01-01,SUCO,Suco de uva reconstituído,0
387,2015-01-01,DERIVADOS,Espumante,23750
388,2015-01-01,DERIVADOS,Espumante moscatel,110100
389,2015-01-01,DERIVADOS,Base espumante,0
390,2015-01-01,DERIVADOS,Base espumante moscatel,1607727
391,2015-01-01,DERIVADOS,Base Champenoise champanha,605001
392,2015-01-01,DERIVADOS,Base Charmat champanha,1466259
393,2015-01-01,DERIVADOS,Bebida de uva,922
394,2015-01-01,DERIVADOS,Polpa de uva,2371140
395,2015-01-01,DERIVADOS,Mosto simples,100911592
396,2015-01-01,DERIVADOS,Mosto concentrado,0
397,2015-01-01,DERIVADOS,Mosto de uva com bagaço,0
398,2015-01-01,DERIVADOS,Mosto dessulfitado,0
399,2015-01-01,DERIVADOS,Mistelas,0
400,2015-01-01,DERIVADOS,Néctar de uva,1000
401,2015-01-01,DERIVADOS,Licorosos,0
402,2015-01-01,DERIVADOS,Compostos,0
403,2015-01-01,DERIVADOS,Jeropiga,0
404,2015-01-01,DERIVADOS,Filtrado,0
405,2015-01-01,DERIVADOS,Frisante,0
406,2015-01-01,DERIVADOS,Vinho leve,0
407,2015-01-01,DERIVADOS,Vinho licoroso,56000
408,2015-01-01,DERIVADOS,Brandy,0
409,2015-01-01,DERIVADOS,Destilado,0
410,2015-01-01,DERIVADOS,Bagaceira,1350
411,2015-01-01,DERIVADOS,Licor de bagaceira,0
412,2015-01-01,DERIVADOS,Vinagre,25800
413,2015-01-01,DERIVADOS,Borra líquida,48833
414,2015-01-01,DERIVADOS,Borra seca,120230
415,2015-01-01,DERIVADOS,Vinho Composto,0
416,2015-01-01,DERIVADOS,Pisco,0
417,2015-01-01,DERIVADOS,Vinho orgânico,0
418,2015-01-01,DERIVADOS,Espumante orgânico,0
419,2015-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
420,2015-01-01,DERIVADOS,Vinho acidificado ,0
421,2015-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
422,2015-01-01,DERIVADOS,Outros derivados,0
423,2016-01-01,VINHO DE MESA,Tinto,75279191
424,2016-01-01,VINHO DE MESA,Branco,10727099
425,2016-01-01,VINHO DE MESA,Rosado,312725
426,2016-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,8774847
427,2016-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,8705066
428,2016-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,590713
429,2016-01-01,SUCO,Suco de uva integral,31117869
430,2016-01-01,SUCO,Suco de uva concentrado,11092520
431,2016-01-01,SUCO,Suco de uva adoçado,0
432,2016-01-01,SUCO,Suco de uva orgânico,0
433,2016-01-01,SUCO,Suco de uva reconstituído,0
434,2016-01-01,DERIVADOS,Espumante,1500
435,2016-01-01,DERIVADOS,Espumante moscatel,100000
436,2016-01-01,DERIVADOS,Base espumante,0
437,2016-01-01,DERIVADOS,Base espumante moscatel,1325700
438,2016-01-01,DERIVADOS,Base Champenoise champanha,740395
439,2016-01-01,DERIVADOS,Base Charmat champanha,250280
440,2016-01-01,DERIVADOS,Bebida de uva,3474
441,2016-01-01,DERIVADOS,Polpa de uva,1620430
442,2016-01-01,DERIVADOS,Mosto simples,49770993
443,2016-01-01,DERIVADOS,Mosto concentrado,0
444,2016-01-01,DERIVADOS,Mosto de uva com bagaço,0
445,2016-01-01,DERIVADOS,Mosto dessulfitado,0
446,2016-01-01,DERIVADOS,Mistelas,0
447,2016-01-01,DERIVADOS,Néctar de uva,0
448,2016-01-01,DERIVADOS,Licorosos,0
449,2016-01-01,DERIVADOS,Compostos,0
450,2016-01-01,DERIVADOS,Jeropiga,0
451,2016-01-01,DERIVADOS,Filtrado,0
452,2016-01-01,DERIVADOS,Frisante,0
453,2016-01-01,DERIVADOS,Vinho leve,0
454,2016-01-01,DERIVADOS,Vinho licoroso,24200
455,2016-01-01,DERIVADOS,Brandy,0
456,2016-01-01,DERIVADOS,Destilado,0
457,2016-01-01,DERIVADOS,Bagaceira,1000
458,2016-01-01,DERIVADOS,Licor de bagaceira,0
459,2016-01-01,DERIVADOS,Vinagre,5000
460,2016-01-01,DERIVADOS,Borra líquida,24975
461,2016-01-01,DERIVADOS,Borra seca,82367
462,2016-01-01,DERIVADOS,Vinho Composto,0
463,2016-01-01,DERIVADOS,Pisco,0
464,2016-01-01,DERIVADOS,Vinho orgânico,0
465,2016-01-01,DERIVADOS,Espumante orgânico,0
466,2016-01-01,DERIVADOS,Destilado alcoólico simples de bagaceira ,0
467,2016-01-01,DERIVADOS,Vinho acidificado ,0
468,2016-01-01,DERIVADOS,Mosto parcialmente fermentado ,0
469,2016-01-01,DERIVADOS,Outros derivados,0
470,2017-01-01,VINHO DE MESA,Tinto,1365957
471,2017-01-01,VINHO DE MESA,Branco,217527985
472,2017-01-01,VINHO DE MESA,Rosado,36121245
473,2017-01-01,VINHO FINO DE MESA (VINÍFERA),Tinto,21442212
474,2017-01-01,VINHO FINO DE MESA (VINÍFERA),Branco,21928400
475,2017-01-01,VINHO FINO DE MESA (VINÍFERA),Rosado,1167258
476,2017-01-01,SUCO,Suco de uva integral,46865626
477,2017-01-01,SUCO,Suco de uva concentrado,30059271
478,2017-01-01,SUCO,Suco de uva adoçado,177774
479,2017-01-01,SUCO,Suco de uva orgânico,0
480,2017-01-01,SUCO,Suco de uva reconstituído,59300
481,2017-01-01,DERIVADOS,Espumante,11280
482,2017-01-01,DERIVADOS,Espumante moscatel,152375
483,2017-01-01,DERIVADOS,Base espumante,0
484,2017-01-01,DERIVADOS,Base espumante moscatel,1965629
485,2017-01-01,DERIVADOS,Base Champenoise champanha,1552403
486,2017-01-01,DERIVADOS,Base Charmat champanha,893364
487,2017-01-01,DERIVADOS,Bebida de uva,0
488,2017-01-01,DERIVADOS,Polpa de uva,2507125
489,2017-01-01,DERIVADOS,Mosto simples,101010116
490,2017-01-01,DERIVADOS,Mosto concentrado,0
